Present State of MPS:
space_size=19	,cutoff=0.2000000000	,lr=0.100000
bond dimension:[1, 2, 2, 3, 4, 4, 3, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 2, 1]	loss=1.186724e+01
cutoff	n_loop	n_descent	learning_rate
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
Present set_size:960
