Present State of MPS:
space_size=5	,cutoff=0.2000000000	,lr=0.100000
bond dimension:[1, 2, 2, 1, 1]	loss=2.785496e+00
cutoff	n_loop	n_descent	learning_rate
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
2.00e-01	1	10	1.00e-01
Present set_size:800
